縣市,地區,級風數,風的名稱,每秒速度(m),,風速表,,,,
彰化縣,鹿港鎮,10,狂風,27.5,,,,,,
,福興鄉,10,狂風,27.5,,,,,,
,芳苑鄉,10,狂風,27.5,,,,,,
,大城鄉,10,狂風,27.5,,,,,,
,二林鎮,10,狂風,27.5,,,,,,
,埔鹽鄉,10,狂風,27.5,,,,,,
,竹塘鄉,10,狂風,27.5,,,,,,
,埤頭鄉,10,狂風,27.5,,,,,,
,溪湖鎮,10,狂風,27.5,,,,,,
,溪州鄉,10,狂風,27.5,,,,,,
,二水鄉,10,狂風,27.5,,,,,,
,彰化市,10,狂風,27.5,,,,,,
,花壇鄉,10,狂風,27.5,,,,,,
,芬園鄉,10,狂風,27.5,,,,,,
,秀水鄉,10,狂風,27.5,,,,,,
,大村鄉,10,狂風,27.5,,,,,,
,員林鎮,10,狂風,27.5,,,,,,
,社頭鄉,10,狂風,27.5,,,,,,
,埔心鄉,10,狂風,27.5,,,,,,
,永靖鄉,10,狂風,27.5,,,,,,
,田尾鄉,10,狂風,27.5,,,,,,
,北斗鎮,10,狂風,27.5,,,,,,
,田中鎮,10,狂風,27.5,,,,,,
南投縣,草屯鎮,10,狂風,27.5,,,,,,
,南投市,10,狂風,27.5,,,,,,
,名間鄉,10,狂風,27.5,,,,,,
,中寮鄉,10,狂風,27.5,,,,,,
,國姓鄉,10,狂風,27.5,,,,,,
,埔里鎮,10,狂風,27.5,,,,,,
,魚池鄉,10,狂風,27.5,,,,,,
雲林縣,麥寮鄉,10,狂風,27.5,,,,,,
,台西鄉,10,狂風,27.5,,,,,,
,東勢鄉,10,狂風,27.5,,,,,,
,崙背鄉,10,狂風,27.5,,,,,,
,褒忠鄉,10,狂風,27.5,,,,,,
,元長鄉,10,狂風,27.5,,,,,,
,北港鎮,10,狂風,27.5,,,,,,
,土庫鎮,10,狂風,27.5,,,,,,
,二崙鎮,10,狂風,27.5,,,,,,
,西螺鎮,10,狂風,27.5,,,,,,
,虎尾鎮,10,狂風,27.5,,,,,,
,大埤鄉,10,狂風,27.5,,,,,,
,荊桐鄉,10,狂風,27.5,,,,,,
,斗六市,10,狂風,27.5,,,,,,
,斗南鎮,10,狂風,27.5,,,,,,
,古坑鄉,10,狂風,27.5,,,,,,
,林內鄉,10,狂風,27.5,,,,,,
嘉義縣,新港鄉,10,狂風,27.5,,,,,,
,水上鄉,10,狂風,27.5,,,,,,
,溪口鄉,10,狂風,27.5,,,,,,
,民雄鄉,10,狂風,27.5,,,,,,
,大林鎮,10,狂風,27.5,,,,,,
,梅山鄉,10,狂風,27.5,,,,,,
,竹崎鄉,10,狂風,27.5,,,,,,
,中埔鄉,10,狂風,27.5,,,,,,
,番路鄉,10,狂風,27.5,,,,,,
,大埔鄉,10,狂風,27.5,,,,,,
,阿里山鄉,10,狂風,27.5,,,,,,
嘉義市,嘉義市,10,狂風,27.5,,,,,,
台南市,白河區,10,狂風,27.5,,,,,,
南投縣,竹山鎮,9,烈風,22.5,,,,,,
,水里鄉,9,烈風,22.5,,,,,,
,集集鎮,9,烈風,22.5,,,,,,
,鹿谷鄉,9,烈風,22.5,,,,,,
蘭嶼,蘭嶼,17,颶風,65,,,,,,
綠島,綠島,17,颶風,65,,,,,,
彭佳嶼,彭佳嶼,17,颶風,57,,,,,,
東吉島,東吉島,14,颶風,45,,,,,,
馬祖,馬祖,14,颶風,42,,,,,,
琉球,琉球,13,颶風,40,,,,,,
金門,金門,12,颶風,35,,,,,,
澎湖,澎湖,12,颶風,33,,,,,,
